"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksbanut  ","P",05/23/2024 8:00,0,1,2         ,1         ,"",0.0090,<0>  ,0.0840,<0>  ,"","","","",0.2060,<0>  ,4.2800,<0>  ,
"lksbanut  ","P",05/23/2024 10:00,0,1,2         ,1         ,"",0.0100,<0>  ,0.0730,<0>  ,"","","","",0.2010,<0>  ,5.1300,<0>  ,
"lksbanut  ","P",05/23/2024 12:00,0,1,2         ,1         ,"",0.0100,<0>  ,0.0690,<0>  ,"","","","",0.2030,<0>  ,"",<0>  ,
"lksbanut  ","P",05/23/2024 12:52,0,1,1         ,1         ,"",0.0100,<0>  ,0.0680,<0>  ,"","","","",0.1840,<0>  ,8.0200,<0>  ,
"lksbanut  ","P",05/23/2024 12:54,0,1,1         ,2         ,"",0.0090,<0>  ,0.0720,<0>  ,"","","","",0.1940,<0>  ,7.1000,<0>  ,
"lksbanut  ","P",05/23/2024 14:00,0,1,2         ,1         ,"",0.0090,<0>  ,0.0680,<0>  ,"","","","",0.2100,<0>  ,4.7100,<0>  ,
"lksbanut  ","P",05/23/2024 16:00,0,1,2         ,1         ,"",0.0090,<0>  ,0.0730,<0>  ,"","","","",0.2060,<0>  ,5.3700,<0>  ,
"lksbanut  ","P",05/23/2024 18:00,0,1,2         ,1         ,"",0.0090,<0>  ,0.0720,<0>  ,"","","","",0.2040,<0>  ,6.5200,<0>  ,
"lksbanut  ","P",05/23/2024 20:00,0,1,2         ,1         ,"",0.0090,<0>  ,0.0780,<0>  ,"","","","",0.2030,<0>  ,5.3700,<0>  ,
"lksbanut  ","P",05/23/2024 22:00,0,1,2         ,1         ,"",0.0100,<0>  ,0.0830,<0>  ,"","","","",0.2020,<0>  ,5.8500,<0>  ,
"lksbanut  ","P",05/24/2024 0:00,0,1,2         ,1         ,"",0.0100,<0>  ,0.0890,<0>  ,"","","","",0.1990,<0>  ,3.7400,<0>  ,
