"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksblnut  ","P",05/23/2024 12:25,0,1,1         ,1         ,"",0.0080,<0>  ,0.0670,<0>  ,"","","","",0.1280,<0>  ,2.2700,<0>  ,
"lksblnut  ","P",05/23/2024 12:27,0,1,1         ,2         ,"",0.0070,<0>  ,0.0660,<0>  ,"","","","",0.1280,<0>  ,2.5700,<0>  ,
"lksblnut  ","P",06/20/2024 7:50,0,1,1         ,1         ,"",0.0120,<0>  ,0.0520,<0>  ,"","","","",0.1240,<0>  ,1.4600,<0>  ,
"lksblnut  ","P",06/20/2024 7:53,0,1,1         ,2         ,"",0.0120,<0>  ,0.0580,<0>  ,"","","","",0.1260,<0>  ,1.6700,<0>  ,
"lksblnut  ","P",07/16/2024 7:37,0,1,1         ,1         ,"",0.0160,<0>  ,0.1210,<0>  ,"","","","",0.1830,<0>  ,2.3100,<0>  ,
"lksblnut  ","P",07/16/2024 7:39,0,1,1         ,2         ,"",0.0160,<0>  ,0.1210,<0>  ,"","","","",0.1840,<0>  ,2.2000,<0>  ,
"lksblnut  ","P",08/13/2024 7:20,0,1,1         ,1         ,"",0.0160,<0>  ,0.0220,<0>  ,"","","","",0.3180,<0>  ,3.8500,<0>  ,
"lksblnut  ","P",08/13/2024 7:24,0,1,1         ,2         ,"",0.0190,<0>  ,0.0170,<0>  ,"","","","",0.3310,<0>  ,3.8400,<0>  ,
"lksblnut  ","P",09/10/2024 8:15,0,1,1         ,1         ,"",0.0040,<0>  ,0.0290,<0>  ,"","","","",0.3440,<1> (CHB) ,5.5300,<0>  ,
"lksblnut  ","P",09/10/2024 8:17,0,1,1         ,2         ,"",0.0050,<0>  ,0.0230,<0>  ,"","","","",0.3520,<1> (CHB) ,10.3800,<0>  ,
"lksblnut  ","P",10/08/2024 8:15,0,1,1         ,1         ,"",0.0210,<0>  ,0.1520,<0>  ,"","","","",0.3370,<0>  ,4.1500,<0>  ,
"lksblnut  ","P",10/08/2024 8:15,0,1,1         ,2         ,"",0.0220,<0>  ,0.1650,<0>  ,"","","","",0.3580,<0>  ,4.1900,<0>  ,
"lksblnut  ","P",11/06/2024 10:51,0,1,1         ,1         ,"",0.0190,<0>  ,0.3250,<0>  ,"","","","",0.2580,<0>  ,2.3500,<0>  ,
"lksblnut  ","P",11/06/2024 10:53,0,1,1         ,2         ,"",0.0210,<0>  ,0.3260,<0>  ,"","","","",0.2540,<0>  ,2.7300,<0>  ,
