"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksolnut  ","P",05/23/2024 9:25,0,1,1         ,1         ,"",0.0080,<0>  ,0.0240,<0>  ,"","","","",0.0950,<0>  ,4.3300,<0>  ,
"lksolnut  ","P",05/23/2024 9:27,0,1,1         ,2         ,"",0.0070,<0>  ,0.0220,<0>  ,"","","","",0.0890,<0>  ,4.5700,<0>  ,
"lksolnut  ","P",06/20/2024 10:51,0,1,1         ,1         ,"",0.0140,<0>  ,0.0420,<0>  ,"","","","",0.1170,<0>  ,3.2400,<0>  ,
"lksolnut  ","P",06/20/2024 10:53,0,1,1         ,2         ,"",0.0140,<0>  ,0.0360,<0>  ,"","","","",0.1090,<0>  ,3.1500,<0>  ,
"lksolnut  ","P",07/16/2024 10:00,0,1,1         ,1         ,"",0.0170,<0>  ,0.0370,<0>  ,"","","","",0.1530,<0>  ,2.0300,<0>  ,
"lksolnut  ","P",07/16/2024 10:01,0,1,1         ,2         ,"",0.0160,<0>  ,0.0360,<0>  ,"","","","",0.1500,<0>  ,2.0500,<0>  ,
"lksolnut  ","P",08/13/2024 9:30,0,1,1         ,1         ,"",0.0160,<0>  ,0.0190,<0>  ,"","","","",0.1970,<0>  ,5.2200,<0>  ,
"lksolnut  ","P",08/13/2024 9:32,0,1,1         ,2         ,"",0.0160,<0>  ,0.0160,<0>  ,"","","","",0.2010,<0>  ,4.8200,<0>  ,
"lksolnut  ","P",09/10/2024 9:30,0,1,1         ,1         ,"",0.0070,<0>  ,0.0230,<0>  ,"","","","",0.0790,<1> (CHB) ,1.4200,<0>  ,
"lksolnut  ","P",09/10/2024 9:35,0,1,1         ,2         ,"",0.0080,<0>  ,0.0230,<0>  ,"","","","",0.0740,<1> (CHB) ,1.0300,<0>  ,
"lksolnut  ","P",10/08/2024 8:57,0,1,1         ,1         ,"",0.0080,<0>  ,0.0270,<0>  ,"","","","",0.0210,<0>  ,3.2700,<0>  ,
"lksolnut  ","P",10/08/2024 8:59,0,1,1         ,2         ,"",0.0080,<0>  ,0.0260,<0>  ,"","","","",0.0170,<0>  ,3.1600,<0>  ,
"lksolnut  ","P",11/06/2024 10:09,0,1,1         ,1         ,"",0.0050,<0>  ,0.0350,<0>  ,"","","","",0.0830,<0>  ,3.9000,<0>  ,
"lksolnut  ","P",11/06/2024 10:10,0,1,1         ,2         ,"",0.0050,<0>  ,0.0330,<0>  ,"","","","",0.0770,<0>  ,3.4100,<0>  ,
