"StationCode","isSWMP","DateTimeStamp","Historical","ProvisionalPlus","CollMethd","REP","F_Record","PO4F","F_PO4F","NH4F","F_NH4F","NO2F","F_NO2F","NO3F","F_NO3F","NO23F","F_NO23F","CHLA_N","F_CHLA_N",
"lksponut  ","P",05/23/2024 10:31,0,1,1         ,1         ,"",0.0230,<0>  ,0.0280,<0>  ,"","","","",0.0460,<0>  ,1.9700,<0>  ,
"lksponut  ","P",05/23/2024 10:32,0,1,1         ,2         ,"",0.0100,<0>  ,0.0250,<0>  ,"","","","",0.0720,<0>  ,1.9900,<0>  ,
"lksponut  ","P",06/20/2024 13:22,0,1,1         ,1         ,"",0.0120,<0>  ,0.0540,<0>  ,"","","","",0.0560,<0>  ,3.4100,<0>  ,
"lksponut  ","P",06/20/2024 13:25,0,1,1         ,2         ,"",0.0100,<0>  ,0.0430,<0>  ,"","","","",0.0510,<0>  ,2.9100,<0>  ,
"lksponut  ","P",07/16/2024 13:19,0,1,1         ,1         ,"",0.0270,<0>  ,0.0550,<0>  ,"","","","",0.0200,<0>  ,5.2400,<0>  ,
"lksponut  ","P",07/16/2024 13:20,0,1,1         ,2         ,"",0.0300,<0>  ,0.0590,<0>  ,"","","","",0.0190,<0>  ,4.5100,<0>  ,
"lksponut  ","P",08/13/2024 12:44,0,1,1         ,1         ,"",0.0230,<0>  ,0.0400,<0>  ,"","","","",0.0280,<0>  ,2.9700,<0>  ,
"lksponut  ","P",08/13/2024 12:46,0,1,1         ,2         ,"",0.0190,<0>  ,0.0180,<0>  ,"","","","",0.0220,<0>  ,4.5100,<0>  ,
"lksponut  ","P",09/10/2024 12:15,0,1,1         ,1         ,"",0.0290,<0>  ,0.0200,<0>  ,"","","","",0.0090,<1> (CHB) ,1.4600,<0>  ,
"lksponut  ","P",09/10/2024 12:17,0,1,1         ,2         ,"",0.0280,<0>  ,0.0260,<0>  ,"","","","",0.0110,<1> (CHB) ,1.5500,<0>  ,
"lksponut  ","P",10/08/2024 10:44,0,1,1         ,1         ,"",0.0180,<0>  ,0.0180,<0>  ,"","","","",0.0140,<0>  ,10.9200,<0>  ,
"lksponut  ","P",10/08/2024 10:47,0,1,1         ,2         ,"",0.0180,<0>  ,0.0170,<0>  ,"","","","",0.0100,<0>  ,12.1300,<0>  ,
"lksponut  ","P",11/06/2024 12:21,0,1,1         ,1         ,"",0.0040,<0>  ,0.1890,<0>  ,"","","","",0.1100,<0>  ,6.9500,<0>  ,
"lksponut  ","P",11/06/2024 12:23,0,1,1         ,2         ,"",0.0030,<0>  ,0.1760,<0>  ,"","","","",0.0530,<0>  ,10.3900,<0>  ,
